project_name,gen_tech,balancing_area,full_load_heat_rate,connect_cost_per_mw,variable_o_m,forced_outage_rate,scheduled_outage_rate,capacity_limit_mw,start_year,capacity_mw,overnight_cost,fixed_o_m,project_id,being_built,fuel_code,fuel_oil,load_zone
ccc_06,combined_cycle_natural_gas,04-noroeste,6.6,0,,,7.7,778,2019,778,,,887,firm_project,zzon_noro,natural_gas,04-los_mochis
ccc_02,combined_cycle_natural_gas,05-norte,6.4,0,,,7.7,906.7,2017,906.7,,,888,firm_project,zzon_nort,natural_gas,07-juarez
ccc_04,combined_cycle_natural_gas,04-noroeste,6.9,0,,,7.7,665.9,2019,665.9,,,889,firm_project,zzon_noro,natural_gas,04-los_mochis
ccc_pp_01,combined_cycle_natural_gas,04-noroeste,7.2,0,,,7.7,29,2017,29,,,890,firm_project,zzon_noro,natural_gas,01-hermosillo
ccc_pp_02,combined_cycle_natural_gas,04-noroeste,7.2,0,,,7.7,29,A_partir_de_2019,29,,,891,optimization,zzon_noro,natural_gas,01-hermosillo
cce_cog_10,cogen_natural_gas,02-oriental,6.9,0,,,7.7,254.5,2017,254.5,,,892,firm_project,g_tuxpoz,natural_gas,38-tabasco
cce_cog_01,cogen_natural_gas,03-occidental,10.3,0,,,7.4,2.5,2016,2.5,,,893,firm_project,g_sauzqro,natural_gas,30-queretaro
cce_cog_02,cogen_natural_gas,02-oriental,7.2,0,,,7.7,164.7,2016,164.7,,,894,firm_project,g_slorp,natural_gas,37-coatzacoalcos
cce_cog_03,cogen_natural_gas,02-oriental,7.2,0,,,7.7,140.5,2016,140.5,,,895,firm_project,gn_tuxp,natural_gas,37-coatzacoalcos
cce_cog_04,cogen_natural_gas,06-noreste,7.2,0,,,7.7,58.2,2016,58.2,,,896,firm_project,g_ahnrr,natural_gas,17-saltillo
cce_cog_05,cogen_natural_gas,06-noreste,10.3,0,,,7.4,0.8,2016,0.8,,,897,firm_project,g_ahnrr,natural_gas,17-saltillo
cce_cog_06,cogen_natural_gas,01-central,9.6,0,,,5.5,40.8,2016,40.8,,,898,firm_project,g_slorp,natural_gas,31-central
cce_cog_12,cogen_natural_gas,06-noreste,6.7,0,,,7.7,368.6,2020,368.6,,,899,firm_project,g_ahnrr,natural_gas,16-monterrey
cce_cog_13,cogen_natural_gas,02-oriental,6.9,0,,,7.7,501.1,2020,501.1,,,900,firm_project,g_tuxpoz,natural_gas,36-temascal
cce_cog_14,cogen_natural_gas,01-central,6.9,0,,,7.7,620.8,2020,620.8,,,901,firm_project,g_central,natural_gas,31-central
cce_cog_08,cogen_natural_gas,02-oriental,9.6,0,,,5.5,62.4,2016,62.4,,,902,firm_project,gn_tuxp,natural_gas,37-coatzacoalcos
cce_cog_09,cogen_natural_gas,04-noroeste,7.2,0,,,7.7,29.1,2016,29.1,,,903,firm_project,zzon_noro,natural_gas,02-cananea
cce_cog_18,cogen_natural_gas,01-central,8,0,,,7.4,31.4,A_partir_de_2019,31.4,,,904,optimization,g_slorp,natural_gas,31-central
cce_cog_23,cogen_natural_gas,03-occidental,10.3,0,,,7.4,4.9,A_partir_de_2019,4.9,,,905,optimization,g_sauzqro,natural_gas,30-queretaro
cce_cog_24,cogen_natural_gas,03-occidental,11.8,0,,,5.5,69.2,A_partir_de_2019,69.2,,,906,optimization,g_petsal,natural_gas,23-guadalajara
cce_cog_25,cogen_natural_gas,03-occidental,10.3,0,,,7.4,1.6,A_partir_de_2019,1.6,,,907,optimization,g_sauzqro,natural_gas,26-salamanca
cce_cog_26,cogen_diesel,03-occidental,9.6,0,,,7.1,33.1,A_partir_de_2019,33.1,,,908,optimization,d_naciona,diesel,22-tepic
cce_cog_27,cogen_natural_gas,06-noreste,10.3,0,,,7.4,0.9,A_partir_de_2019,0.9,,,909,optimization,g_ahnrr,natural_gas,16-monterrey
