PROJECT	proj_gen_tech	proj_load_zone	proj_variable_o_m	proj_full_load_heat_rate	proj_forced_outage_rate	proj_scheduled_outage_rate	proj_dbid	proj_capacity_limit_mw
ingredion_mexico	combined_cycle_natural_gas	00-autoabasto_local	3.05	8.436018957	7.7	6.96	615.0	29.2
inmobiliaria_puerta_maya	internal_combustion_diesel	00-autoabasto_local	6.63	15.63981043	7.4	11.23	616.0	1.5
inmobiliaria_rog	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	617.0	1.25
innophos_fosfatados_de_mexico_cog	thermal_natural_gas	00-autoabasto_local	2.688	9.099526066	7.1	11.44	618.0	6.25
inversiones_mallorca	internal_combustion_diesel	00-autoabasto_local	6.63	10.23696682	7.4	11.23	619.0	2.928
inversiones_palma	internal_combustion_diesel	00-autoabasto_local	6.63	10.99526066	7.4	11.23	620.0	3.0
jacktar	internal_combustion_diesel	00-autoabasto_local	6.63	8.056872038	7.4	11.23	621.0	2.7
kraft_foods_de_mexico	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	622.0	1.02
la_torre_del_vigia_a_r	internal_combustion_diesel	00-autoabasto_local	6.63	12.51184834	7.4	11.23	623.0	3.75
laboratorios_pisa_planta_tla	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	624.0	5.475
laboratorios_pisa_jalisco	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	625.0	9.83
laproba_el_aguila	internal_combustion_diesel	00-autoabasto_local	6.63	10.90047393	7.4	11.23	626.0	1.5
latinoamericana_de_vidrio	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	627.0	6.0
leiser_planta_san_luis	internal_combustion_diesel	00-autoabasto_local	6.63	12.60663507	7.4	11.23	628.0	9.246
lmf_frisa_comercial_ecaptepec	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	629.0	0.9
lmf_frisa_comercial	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	630.0	1.27
loma_textil	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	631.0	2.72
mabe_mexico_planta_pla	internal_combustion_diesel	00-autoabasto_local	6.63	12.03791469	7.4	11.23	632.0	1.556
mabe_mexico_planta_tro	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	633.0	1.25
mabe_sanyo_compressors	internal_combustion_diesel	00-autoabasto_local	6.63	10.8056872	7.4	11.23	634.0	3.416
manantiales_la_asuncion	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	635.0	2.0
marindustrias	internal_combustion_diesel	00-autoabasto_local	6.63	10.14218009	7.4	11.23	636.0	2.0
mayakoba_thai	internal_combustion_diesel	00-autoabasto_local	6.63	12.51184834	7.4	11.23	637.0	3.0
medica_sur	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	638.0	1.02
mega_empack_planta_ii	internal_combustion_diesel	00-autoabasto_local	6.63	10.23696682	7.4	11.23	639.0	2.0
micase	gas_turbine_natural_gas	00-autoabasto_local	3.432	9.099526066	5.5	9.22	640.0	10.69
minas_de_oro_nacional	internal_combustion_diesel	00-autoabasto_local	6.63	10.04739336	7.4	11.23	641.0	18.65
minas_santa_maria_de_moris	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	642.0	2.73
minera_bismark	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	643.0	3.2
minera_la_encantada	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	644.0	13.2
minera_roble	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	645.0	1.5
minera_y_metalurgica_del_boleo	internal_combustion_fuel_oil	00-autoabasto_local	6.63	8.341232227	7.4	11.23	646.0	30.85
molymex	internal_combustion_diesel	00-autoabasto_local	6.63	9.668246445	7.4	11.23	647.0	2.0
monclova_pirineos_gas	internal_combustion_natural_gas	00-autoabasto_local	6.63	9.099526066	7.4	11.23	648.0	2.4
nemak	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	649.0	7.0
nestle_mexico_edomex	internal_combustion_natural_gas	00-autoabasto_local	6.63	25.59241706	7.4	11.23	650.0	2.453
nestle_mexico_queretaro	internal_combustion_diesel	00-autoabasto_local	6.63	8.909952607	7.4	11.23	651.0	1.825
nestle_mexico_planta_coatepe	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	652.0	2.0
no_sabe_fallar	internal_combustion_diesel	00-autoabasto_local	6.63	18.57819905	7.4	11.23	653.0	1.5
novatec_pagani	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	654.0	2.0
nusantara_de_mexico_mina_san	internal_combustion_diesel	00-autoabasto_local	6.63	12.32227488	7.4	11.23	655.0	12.1
omya_mexico	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	656.0	6.0
operaciones_turisticas_integrales_de_mexico_	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	657.0	2.26
operadora_del_noroeste_del_valle_de_mexico_s	internal_combustion_diesel	00-autoabasto_local	6.63	12.7014218	7.4	11.23	658.0	7.435
panasonic_de_mexico	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	659.0	3.2
energia_ep	hydroelectric	34-puebla	0.0	0.0	1.0	3.0	660.0	0.412
papeles_ultra	thermal_fuel_oil	00-autoabasto_local	2.688	9.099526066	7.1	11.44	661.0	10.0
papeles_y_conversiones_de_mexico	cogen_natural_gas	00-autoabasto_local	3.08	9.099526066	5.5	9.22	662.0	5.2
pemex-exploracion_y_produccion_estacion_de_co	internal_combustion_natural_gas	00-autoabasto_local	6.63	9.763033175	7.4	11.23	663.0	2.0
pemex-exploracion_y_produccion_akal-b	gas_turbine_natural_gas	00-autoabasto_local	3.432	15.45023697	5.5	9.22	664.0	23.3
pemex-exploracion_y_produccion_akal-c	gas_turbine_natural_gas	00-autoabasto_local	3.432	14.21800948	5.5	9.22	665.0	27.771
pemex-exploracion_y_produccion_akal-g	gas_turbine_natural_gas	00-autoabasto_local	3.432	16.11374408	5.5	9.22	666.0	10.5
pemex-exploracion_y_produccion_akal-l	gas_turbine_natural_gas	00-autoabasto_local	3.432	16.01895735	5.5	9.22	667.0	24.73
pemex-exploracion_y_produccion_akal-n	gas_turbine_natural_gas	00-autoabasto_local	3.432	24.17061611	5.5	9.22	668.0	5.66
pemex-exploracion_y_produccion_atasta	gas_turbine_natural_gas	00-autoabasto_local	3.432	28.62559242	5.5	9.22	669.0	8.1
pemex-exploracion_y_produccion_barco_de_proc	gas_turbine_natural_gas	00-autoabasto_local	3.432	14.88151659	5.5	9.22	670.0	62.0
pemex-exploracion_y_produccion_centro_operat	internal_combustion_diesel	00-autoabasto_local	6.63	14.21800948	7.4	11.23	671.0	5.5
pemex-exploracion_y_produccion_comp_mari_akal-j	gas_turbine_natural_gas	00-autoabasto_local	3.432	15.35545024	5.5	9.22	672.0	16.93
pemex-exploracion_y_produccion_comp_mari_nohoch-a	gas_turbine_natural_gas	00-autoabasto_local	3.432	15.16587678	5.5	9.22	673.0	13.97
pemex-exploracion_y_produccion_complejo_mari	gas_turbine_natural_gas	00-autoabasto_local	3.432	14.02843602	5.5	9.22	674.0	7.12
pemex-exploracion_y_produccion_complejo_mari_1	gas_turbine_natural_gas	00-autoabasto_local	3.432	29.47867299	5.5	9.22	675.0	35.75
pemex-exploracion_y_produccion_complejo_mari_5	gas_turbine_natural_gas	00-autoabasto_local	3.432	17.25118483	5.5	9.22	676.0	9.174
pemex-exploracion_y_produccion_complejo_mari_8	gas_turbine_natural_gas	00-autoabasto_local	3.432	10.99526066	5.5	9.22	677.0	14.52
pemex-exploracion_y_produccion_complejo_mari_ku-a	gas_turbine_natural_gas	00-autoabasto_local	3.432	10.23696682	5.5	9.22	678.0	10.185
pemex-exploracion_y_produccion_complejo_mari_ku-h	gas_turbine_diesel	00-autoabasto_local	3.432	23.79146919	5.5	9.22	679.0	14.85
pemex-exploracion_y_produccion_complejo_mari_rebo	gas_turbine_natural_gas	00-autoabasto_local	3.432	17.34597156	5.5	9.22	680.0	4.65
pemex-exploracion_y_produccion_ku-m	gas_turbine_natural_gas	00-autoabasto_local	3.432	18.67298578	5.5	9.22	681.0	14.85
pemex-exploracion_y_produccion_ku-s	gas_turbine_natural_gas	00-autoabasto_local	3.432	13.83886256	5.5	9.22	682.0	14.3
pemex-exploracion_y_produccion_planta_electr	gas_turbine_natural_gas	00-autoabasto_local	3.432	25.30805687	5.5	9.22	683.0	42.0
pemex-exploracion_y_produccion_plataforma_akal-c	gas_turbine_natural_gas	00-autoabasto_local	3.432	29.95260664	5.5	9.22	684.0	12.84
pemex-exploracion_y_produccion_plataforma_de	gas_turbine_natural_gas	00-autoabasto_local	3.432	21.13744076	5.5	9.22	685.0	100.36
pemex-exploracion_y_produccion_plataforma_eco-1	internal_combustion_diesel	00-autoabasto_local	6.63	14.69194313	7.4	11.23	686.0	0.81
pemex-exploracion_y_produccion_plataforma_ha	internal_combustion_diesel	00-autoabasto_local	6.63	10.52132701	7.4	11.23	687.0	4.5
pemex-exploracion_y_produccion_plataforma_ma	internal_combustion_diesel	00-autoabasto_local	6.63	16.39810427	7.4	11.23	688.0	0.825
pemex-exploracion_y_produccion_sistema_de_bo	gas_turbine_natural_gas	00-autoabasto_local	3.432	15.16587678	5.5	9.22	689.0	16.736
pemex-exploracion_y_produccion_terminal_mari	gas_turbine_natural_gas	00-autoabasto_local	3.432	16.96682464	5.5	9.22	690.0	96.42
pemex-exploracion_y_produccion_zaap-c	gas_turbine_natural_gas	00-autoabasto_local	3.432	16.11374408	5.5	9.22	691.0	13.6
pemex-exploracion_y_produccion_plat_akal-c_inyec	internal_combustion_diesel	00-autoabasto_local	6.63	22.46445498	7.4	11.23	692.0	1.05
pemex-gas_y_petroquimica_basica_centro_proce	gas_turbine_natural_gas	00-autoabasto_local	3.432	31.56398104	5.5	9.22	693.0	49.69
pemex-petroquimica_complejo_petroquimico_can	combined_cycle_natural_gas	00-autoabasto_local	3.05	12.51184834	7.7	6.96	694.0	163.5
pemex-petroquimica_terminal_refrigerada_paja	gas_turbine_natural_gas	00-autoabasto_local	3.432	30.8056872	5.5	9.22	695.0	14.0
plastibolsa	internal_combustion_diesel	00-autoabasto_local	6.63	10.61611374	7.4	11.23	696.0	1.6
plasticos_irisagua	internal_combustion_diesel	00-autoabasto_local	6.63	9.478672986	7.4	11.23	697.0	3.65
plasticos_y_materias_primas	internal_combustion_diesel	00-autoabasto_local	6.63	10.42654028	7.4	11.23	698.0	4.5
pollo_de_queretaro	internal_combustion_diesel	00-autoabasto_local	6.63	10.52132701	7.4	11.23	699.0	1.51
porcelanite_lamosa_planta_po	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	700.0	9.95
porcelanite_lamosa_plantapavillion	internal_combustion_diesel	00-autoabasto_local	6.63	15.26066351	7.4	11.23	701.0	3.75
posadas_de_latinoamerica_pla	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	702.0	0.809
praxair_mexico	gas_turbine_natural_gas	00-autoabasto_local	3.432	18.76777251	5.5	9.22	703.0	15.8
printpack_packaging_de_mexico	internal_combustion_diesel	00-autoabasto_local	6.63	20.75829384	7.4	11.23	704.0	2.0
productos_alimenticios_la_moderna	cogen_natural_gas	00-autoabasto_local	3.08	10.33175355	7.4	11.23	705.0	3.768
productos_roche_planta_toluc	internal_combustion_natural_gas	00-autoabasto_local	6.63	9.763033175	7.4	11.23	706.0	2.055
productos_urologos_de_mexico	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	707.0	3.0
promotores_inmobiliarios_el_caracol	internal_combustion_diesel	00-autoabasto_local	6.63	33.17535545	7.4	11.23	708.0	0.65
proteina_animal	internal_combustion_diesel	00-autoabasto_local	6.63	10.04739336	7.4	11.23	709.0	4.455
prup	internal_combustion_natural_gas	00-autoabasto_local	6.63	9.668246445	7.4	11.23	710.0	5.216
qualtia_alimentos_operaciones	internal_combustion_natural_gas	00-autoabasto_local	6.63	11.46919431	7.4	11.23	711.0	5.325
rafypak	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	712.0	2.05
renova_atlatec	bioenergy_natural_gas	00-autoabasto_local	4.37	9.763033175	7.4	11.23	713.0	11.408
representaciones_e_investigaciones_medicas	gas_turbine_natural_gas	00-autoabasto_local	3.432	9.099526066	5.5	9.22	714.0	1.0
residuos_industriales_multiquim	internal_combustion_diesel	00-autoabasto_local	6.63	28.2464455	7.4	11.23	715.0	1.56
rivera_mayan	internal_combustion_diesel	00-autoabasto_local	6.63	22.08530806	7.4	11.23	716.0	4.0
