PROJECT_BUILDYEARS_1	PROJECT_BUILDYEARS_2	BuildProj
ccgt_crucero_encuentro	2024	0.0
ccgt_crucero_encuentro	2026	0.14758167485
ccgt_crucero_encuentro	2028	43.7217127195
ccgt_crucero_encuentro	2030	215.796809013
ccgt_crucero_encuentro	2032	75.7688663962
ccgt_crucero_encuentro	2034	0.0
ccgt_crucero_encuentro	2036	108.928188949
ccgt_crucero_encuentro	2038	0.0
ccgt_mejillones	2004	1200.0
ccgt_mejillones	2020	0.0
ccgt_mejillones	2022	0.0
ccgt_mejillones	2024	0.0
ccgt_mejillones	2026	0.0
ccgt_mejillones	2028	1112.15973331
ccgt_mejillones	2030	0.0
ccgt_mejillones	2032	0.0
ccgt_mejillones	2034	0.0
ccgt_mejillones	2036	0.0
ccgt_mejillones	2038	0.0
ccgt_quillota	2002	1000.0
ccgt_quillota	2020	0.0
ccgt_quillota	2022	0.0
ccgt_quillota	2024	0.0
ccgt_quillota	2026	0.101042425375
ccgt_quillota	2028	0.0
ccgt_quillota	2030	0.0
ccgt_quillota	2032	0.0452552079582
ccgt_quillota	2034	0.0303056336864
ccgt_quillota	2036	245.116492861
ccgt_quillota	2038	0.0
central_candelaria	2004	150.0
central_candelaria	2020	0.0
central_candelaria	2022	0.0
central_candelaria	2024	0.0
central_candelaria	2026	0.0
central_candelaria	2028	0.0
central_candelaria	2030	0.0
central_candelaria	2032	0.0
central_candelaria	2034	0.0
central_candelaria	2036	0.0
central_candelaria	2038	0.0
central_taltal	2004	110.0
central_taltal	2020	0.0
central_taltal	2022	0.0
central_taltal	2024	0.0
central_taltal	2026	0.0
central_taltal	2028	0.0
central_taltal	2030	0.0
central_taltal	2032	0.0
central_taltal	2034	0.0
central_taltal	2036	0.0
central_taltal	2038	0.0
cipreses	1955	105.8
cipreses	2020	0.0
cipreses	2022	0.0
cipreses	2024	0.0
cipreses	2026	0.0
cipreses	2028	0.0
cipreses	2030	0.0
cipreses	2032	0.0
cipreses	2034	105.799992713
cipreses	2036	0.0
cipreses	2038	0.0
coal_crucero_encuentro	1990	625.0
coal_crucero_encuentro	2020	0.0
coal_crucero_encuentro	2022	0.0
coal_crucero_encuentro	2024	352.723891092
coal_crucero_encuentro	2026	1072.27167727
coal_crucero_encuentro	2028	0.0
coal_crucero_encuentro	2030	0.0
coal_crucero_encuentro	2032	0.0
coal_crucero_encuentro	2034	0.0
coal_crucero_encuentro	2036	0.0
coal_crucero_encuentro	2038	0.0
coal_hualpen	2007	780.0
coal_hualpen	2020	0.0
coal_hualpen	2022	0.0
coal_hualpen	2024	0.0
coal_hualpen	2026	0.0
coal_hualpen	2028	0.0
coal_hualpen	2030	0.0
coal_hualpen	2032	0.0
coal_hualpen	2034	212.296867855
coal_hualpen	2036	787.702209673
coal_hualpen	2038	0.0
coal_maitencillo	1999	650.0
coal_maitencillo	2020	0.0
coal_maitencillo	2022	0.0
coal_maitencillo	2024	0.0
coal_maitencillo	2026	408.129995884
coal_maitencillo	2028	791.868059228
coal_maitencillo	2030	0.0
coal_maitencillo	2032	0.0
coal_maitencillo	2034	0.0
coal_maitencillo	2036	0.0
coal_maitencillo	2038	0.0
coal_mejillones	2007	700.0
coal_mejillones	2020	0.0
coal_mejillones	2022	0.0
